taxon_id;family;subfamily;genus;subgenus;specific_epithet;authority;infraspecific_marker;infraspecific_epithet;infraspecific_authority
Ablepharus_bivittatus;Scincidae;Eugongylinae;Ablepharus;;bivittatus;(MENETRIES, 1832);;;
Ablepharus_budaki;Scincidae;Eugongylinae;Ablepharus;;budaki;GÖCMEN, KUMLUTAS & TOSUNOGLU, 1996;;;
Ablepharus_budaki_anatolicus;Scincidae;Eugongylinae;Ablepharus;;budaki;GÖCMEN, KUMLUTAS & TOSUNOGLU, 1996;subsp.;anatolicus;SCHMIDTLER, 1997
Ablepharus_budaki_budaki;Scincidae;Eugongylinae;Ablepharus;;budaki;GÖCMEN, KUMLUTAS & TOSUNOGLU, 1996;subsp.;budaki;GÖCMEN, KUMLUTAS & TOSUNOGLU, 1996
Ablepharus_chernovi;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;;;
Ablepharus_chernovi_chernovi;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;chernovi;DAREVSKY, 1953
Ablepharus_chernovi_eiselti;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;eiselti;SCHMIDTLER, 1997
Ablepharus_chernovi_isauriensis;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;isauriensis;SCHMIDTLER, 1997
Ablepharus_chernovi_ressli;Scincidae;Eugongylinae;Ablepharus;;chernovi;DAREVSKY, 1953;subsp.;ressli;SCHMIDTLER, 1997
Ablepharus_darvazi;Scincidae;Eugongylinae;Ablepharus;;darvazi;EREMCHENKO & PANFILOV, 1990;;;
Ablepharus_deserti;Scincidae;Eugongylinae;Ablepharus;;deserti;STRAUCH, 1868;;;
Ablepharus_grayanus;Scincidae;Eugongylinae;Ablepharus;;grayanus;(STOLICZKA, 1872);;;
Ablepharus_kitaibelii;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;(BIBRON & BORY ST-VINCENT, 1833);;;
Ablepharus_kitaibelii_fabichi;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;(BIBRON & BORY ST-VINCENT, 1833);subsp.;fabichi;STEPANEK, 1937
Ablepharus_kitaibelii_fitzingeri;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;(BIBRON & BORY ST-VINCENT, 1833);subsp.;fitzingeri;MERTENS, 1952
Ablepharus_kitaibelii_kitaibelii;Scincidae;Eugongylinae;Ablepharus;;kitaibelii;(BIBRON & BORY ST-VINCENT, 1833);subsp.;kitaibelii;(BIBRON & BORY, 1833)
